Name,Type of Parliamentarian,Riding/Senatorial Division,Province/Territory,Gender,Political Affiliation
"Arnot, David","Senator (2021/07/29 - )
","Saskatchewan (2021/07/29 - )
","Saskatchewan
",M,"Non-affiliated (2021/07/29 - )
"
"Audette, Michèle","Senator (2021/07/29 - )
","De Salaberry (2021/07/29 - )
","Quebec
",F,"Non-affiliated (2021/07/29 - )
"
"Gerba, Amina","Senator (2021/07/29 - )
","Rigaud (2021/07/29 - )
","Quebec
",F,"Progressive Senate Group (2021/09/02 - )
Non-affiliated (2021/07/29 - )
"
"Gignac, Clément","Senator (2021/07/29 - )
","Kennebec (2021/07/29 - )
","Quebec
",M,"Progressive Senate Group (2021/08/19 - )
Non-affiliated (2021/07/29 - 2021/08/18)
"
"Sorensen, Karen","Senator (2021/07/29 - )
","Alberta (2021/07/29 - )
","Alberta
",F,"Non-affiliated (2021/07/29 - )
"
"Clement, Bernadette","Senator (2021/06/22 - )
","Ontario (2021/06/22 - )
","Ontario
",F,"Non-affiliated (2021/06/22 - )
"
"Quinn, James","Senator (2021/06/22 - )
","New Brunswick (2021/06/22 - )
","New Brunswick
",M,"Canadian Senators Group (2021/09/08 - )
Non-affiliated (2021/06/22 - 2021/09/07)
"
"Yussuff, Hassan ","Senator (2021/06/22 - )
","Ontario (2021/06/22 - )
","Ontario
",M,"Non-affiliated (2021/06/22 - )
"
"Cotter, Brent","Senator (2020/01/31 - )
","Saskatchewan (2020/01/31 - )
","Saskatchewan
",M,"Independent Senators Group (2020/02/06 - )
Non-affiliated (2020/01/31 - 2020/02/05)
"
"Keating, Judith","Senator (2020/01/30 - 2021/07/15)
","New Brunswick (2020/01/30 - 2021/07/15)
","New Brunswick
",F,"Independent Senators Group (2020/02/06 - 2021/07/15)
Non-affiliated (2020/01/30 - 2020/02/05)
"
"Loffreda, Tony","Senator (2019/07/22 - )
","Shawinigan (2019/07/22 - )
","Quebec
",M,"Independent Senators Group (2019/11/07 - )
Non-affiliated (2019/07/22 - 2019/11/06)
"
"Anderson, Margaret Dawn","Senator (2018/12/12 - )
","Northwest Territories (2018/12/12 - )
","Northwest Territories
",F,"Progressive Senate Group (2021/03/01 - )
Independent Senators Group (2019/02/21 - 2021/02/28)
Non-affiliated (2018/12/12 - 2019/02/20)
"
"Duncan, Pat","Senator (2018/12/12 - )
","Yukon (2018/12/12 - )
","Yukon
",F,"Independent Senators Group (2019/02/21 - )
Non-affiliated (2018/12/12 - 2019/02/20)
"
"Kutcher, Stan","Senator (2018/12/12 - )
","Nova Scotia (2018/12/12 - )
","Nova Scotia
",M,"Independent Senators Group (2019/02/21 - )
Non-affiliated (2018/12/12 - 2019/02/20)
"
"Moodie, Rosemary","Senator (2018/12/12 - )
","Ontario (2018/12/12 - )
","Ontario
",F,"Independent Senators Group (2019/02/21 - )
Non-affiliated (2018/12/12 - 2019/02/20)
"
"Forest-Niesing, Josée","Senator (2018/10/11 - )
","Ontario (2018/10/11 - )
","Ontario
",F,"Independent Senators Group (2018/10/17 - )
Non-affiliated (2018/10/11 - 2018/10/16)
"
"Francis, Brian","Senator (2018/10/11 - )
","Prince Edward Island (2018/10/11 - )
","Prince Edward Island
",M,"Progressive Senate Group (2020/09/14 - )
Independent Senators Group (2018/10/17 - 2020/09/13)
Non-affiliated (2018/10/11 - 2018/10/16)
"
"Boehm, Peter M.","Senator (2018/10/03 - )
","Ontario (2018/10/03 - )
","Ontario
",M,"Independent Senators Group (2018/10/18 - )
Non-affiliated (2018/10/03 - 2018/10/17)
"
"LaBoucane-Benson, Patti","Senator (2018/10/03 - )
","Alberta (2018/10/03 - )
","Alberta
",F,"Non-affiliated (2020/01/31 - )
Independent Senators Group (2018/10/30 - 2020/01/30)
Non-affiliated (2018/10/03 - 2018/10/29)
"
"Simons, Paula","Senator (2018/10/03 - )
","Alberta (2018/10/03 - )
","Alberta
",F,"Independent Senators Group (2018/10/18 - )
Non-affiliated (2018/10/03 - 2018/10/17)
"
"Busson, Bev","Senator (2018/09/24 - )
","British Columbia (2018/09/24 - )
","British Columbia
",F,"Independent Senators Group (2018/10/17 - )
Non-affiliated (2018/09/24 - 2018/10/16)
"
"Klyne, Marty","Senator (2018/09/24 - )
","Saskatchewan (2018/09/24 - )
","Saskatchewan
",M,"Progressive Senate Group (2020/09/02 - )
Independent Senators Group (2018/10/31 - 2020/09/01)
Non-affiliated (2018/09/24 - 2018/10/30)
"
"Miville-Dechêne, Julie","Senator (2018/06/20 - )
","Inkerman (2018/06/20 - )
","Quebec
",F,"Independent Senators Group (2018/09/19 - )
Non-affiliated (2018/06/20 - 2018/09/18)
"
"Deacon, Colin","Senator (2018/06/15 - )
","Nova Scotia (2018/06/15 - )
","Nova Scotia
",M,"Independent Senators Group (2018/09/21 - )
Non-affiliated (2018/06/15 - 2018/09/20)
"
"Dalphond, Pierre J.","Senator (2018/06/06 - )
","De Lorimier (2018/06/06 - )
","Quebec
",M,"Progressive Senate Group (2020/05/21 - )
Non-affiliated (2020/05/21 - 2020/05/21)
Independent Senators Group (2018/06/08 - 2020/05/20)
Non-affiliated (2018/06/06 - 2018/06/07)
"
"Dasko, Donna","Senator (2018/06/06 - )
","Ontario (2018/06/06 - )
","Ontario
",F,"Independent Senators Group (2018/06/08 - )
Non-affiliated (2018/06/06 - 2018/06/07)
"
"Ravalia, Mohamed-Iqbal","Senator (2018/06/01 - )
","Newfoundland and Labrador (2018/06/01 - )
","Newfoundland and Labrador
",M,"Independent Senators Group (2018/06/07 - )
Non-affiliated (2018/06/01 - 2018/06/06)
"
"Boyer, Yvonne","Senator (2018/03/15 - )
","Ontario (2018/03/15 - )
","Ontario
",F,"Independent Senators Group (2018/03/28 - )
Non-affiliated (2018/03/15 - 2018/03/27)
"
"Black, Robert","Senator (2018/02/15 - )
","Ontario (2018/03/29 - )
Centre Wellington (2018/02/15 - 2018/03/28)
","Ontario
Ontario
",M,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2018/02/28 - 2019/11/03)
Non-affiliated (2018/02/15 - 2018/02/27)
"
"Deacon, Marty","Senator (2018/02/15 - )
","Waterloo Region (2018/04/25 - )
Waterloo (2018/02/15 - 2018/04/24)
","Ontario
Ontario
",F,"Independent Senators Group (2018/02/28 - )
Non-affiliated (2018/02/15 - 2018/02/27)
"
"Coyle, Mary","Senator (2017/12/04 - )
","Nova Scotia (2017/12/04 - )
","Nova Scotia
",F,"Independent Senators Group (2018/02/07 - )
Non-affiliated (2017/12/04 - 2018/02/06)
"
"McCallum, Mary Jane","Senator (2017/12/04 - )
","Manitoba (2017/12/04 - )
","Manitoba
",F,"Independent Senators Group (2018/02/07 - )
Non-affiliated (2017/12/04 - 2018/02/06)
"
"Richards, David Adams","Senator (2017/08/30 - )
","New Brunswick (2017/08/31 - )
","New Brunswick
",M,"Canadian Senators Group (2019/11/04 - )
Non-affiliated (2018/04/24 - 2019/11/03)
Independent Senators Group (2017/09/28 - 2018/04/23)
Non-affiliated (2017/08/30 - 2017/09/27)
"
"Christmas, Daniel","Senator (2016/12/06 - )
","Nova Scotia (2016/12/06 - )
","Nova Scotia
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/16 - 2017/05/31)
Non-affiliated (2016/12/06 - 2016/12/15)
"
"Galvez, Rosa","Senator (2016/12/06 - )
","Bedford (2016/12/06 - )
","Quebec
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/16 - 2017/05/31)
Non-affiliated (2016/12/06 - 2016/12/15)
"
"Gold, Marc","Senator (2016/11/25 - )
","Stadacona (2016/11/25 - )
","Quebec
",M,"Non-affiliated (2020/01/24 - )
Independent Senators Group (2017/06/01 - 2020/01/23)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/25 - 2016/12/01)
"
"Mégie, Marie-Françoise","Senator (2016/11/25 - )
","Rougemont (2016/11/25 - )
","Quebec
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/25 - 2016/12/01)
"
"Saint-Germain, Raymonde","Senator (2016/11/25 - )
","De la Vallière (2016/11/25 - )
","Quebec
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/25 - 2016/12/01)
"
"Forest, Éric","Senator (2016/11/21 - )
","Gulf (2016/11/21 - )
","Quebec
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/21 - 2016/12/01)
"
"Bernard, Wanda Thomas","Senator (2016/11/10 - )
","Nova Scotia (East Preston) (2016/11/24 - )
Nova Scotia (2016/11/10 - 2016/11/23)
","Nova Scotia
Nova Scotia
",F,"Progressive Senate Group (2020/07/08 - )
Independent Senators Group (2017/06/01 - 2020/07/07)
Non-affiliated (Independent Senators Group) (2017/03/30 - 2017/05/31)
Non-affiliated (2016/11/10 - 2017/03/29)
"
"Boniface, Gwen","Senator (2016/11/10 - )
","Ontario (2016/11/10 - )
","Ontario
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Bovey, Patricia E.","Senator (2016/11/10 - )
","Manitoba (2016/11/10 - )
","Manitoba
",F,"Progressive Senate Group (2020/05/21 - )
Non-affiliated (2020/05/08 - 2020/05/20)
Independent Senators Group (2017/06/01 - 2020/05/07)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Cormier, René","Senator (2016/11/10 - )
","New Brunswick (2016/11/10 - )
","New Brunswick
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Dean, Tony","Senator (2016/11/10 - )
","Ontario (2016/11/10 - )
","Ontario
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Dupuis, Renée","Senator (2016/11/10 - )
","The Laurentides (2016/11/10 - )
","Quebec
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Griffin, Diane","Senator (2016/11/10 - )
","Prince Edward Island (2016/11/10 - )
","Prince Edward Island
",F,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/01 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Hartling, Nancy","Senator (2016/11/10 - )
","New Brunswick (2016/11/10 - )
","New Brunswick
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Marwah, Sarabjit S.","Senator (2016/11/10 - )
","Ontario (2016/11/10 - )
","Ontario
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"McPhedran, Marilou","Senator (2016/11/10 - )
","Manitoba (2016/11/10 - )
","Manitoba
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Moncion, Lucie","Senator (2016/11/10 - )
","Ontario (2016/11/10 - )
","Ontario
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Pate, Kim","Senator (2016/11/10 - )
","Ontario (2016/11/10 - )
","Ontario
",F,"Independent Senators Group (2017/06/02 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Wetston, Howard","Senator (2016/11/10 - )
","Ontario (2016/11/10 - )
","Ontario
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Woo, Yuen Pau","Senator (2016/11/10 - )
","British Columbia (2016/11/10 - )
","British Columbia
",M,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/11/10 - 2016/12/01)
"
"Sinclair, Murray","Senator (2016/04/02 - 2021/01/31)
","Manitoba (2016/04/02 - 2021/01/31)
","Manitoba
",M,"Independent Senators Group (2017/06/01 - 2021/01/31)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/02 - 2016/06/12)
"
"Gagné, Raymonde","Senator (2016/04/01 - )
","Manitoba (2016/04/01 - )
","Manitoba
",F,"Non-affiliated (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/01 - 2016/06/12)
"
"Lankin, Frances","Senator (2016/04/01 - )
","Ontario (2016/04/01 - )
","Ontario
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/01 - 2016/06/12)
"
"Omidvar, Ratna","Senator (2016/04/01 - )
","Ontario (2016/04/01 - )
","Ontario
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/01 - 2016/06/12)
"
"Petitclerc, Chantal","Senator (2016/04/01 - )
","Grandville (2016/04/01 - )
","Quebec
",F,"Independent Senators Group (2017/06/01 - )
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/01 - 2016/06/12)
"
"Harder, Peter","Senator (2016/03/23 - )
","Ontario (2016/03/23 - )
","Ontario
",M,"Progressive Senate Group (2020/05/21 - )
Non-affiliated (2016/06/13 - 2020/05/20)
Independent (2016/03/23 - 2016/06/12)
"
"Tannas, Scott","Senator (2013/03/25 - )
","Alberta (2013/03/25 - )
","Alberta
",M,"Canadian Senators Group (2019/11/04 - )
Conservative Party of Canada (2013/03/25 - 2019/11/03)
"
"Beyak, Lynn","Senator (2013/01/25 - 2021/01/25)
","Ontario (2013/01/25 - 2021/01/25)
","Ontario
",F,"Non-affiliated (2018/01/05 - 2021/01/25)
Conservative Party of Canada (2013/01/25 - 2018/01/04)
"
"Batters, Denise","Senator (2013/01/25 - )
","Saskatchewan (2013/01/25 - )
","Saskatchewan
",F,"Conservative Party of Canada (2013/01/25 - )
"
"Black, Douglas","Senator (2013/01/25 - )
","Alberta (2013/01/25 - )
","Alberta
",M,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/01 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/07/14 - 2016/12/01)
Conservative Party of Canada (2013/01/25 - 2016/07/13)
"
"Oh, Victor","Senator (2013/01/25 - )
","Mississauga (2013/01/25 - )
","Ontario
",M,"Conservative Party of Canada (2013/01/25 - )
"
"Wells, David M.","Senator (2013/01/25 - )
","Newfoundland and Labrador (2013/01/25 - )
","Newfoundland and Labrador
",M,"Conservative Party of Canada (2013/01/25 - )
"
"McInnis, Tom","Senator (2012/09/06 - 2020/04/08)
","Nova Scotia (2012/09/06 - 2020/04/08)
","Nova Scotia
",M,"Conservative Party of Canada (2012/09/06 - 2020/04/08)
"
"Bellemare, Diane","Senator (2012/09/06 - )
","Alma (2012/09/06 - )
","Quebec
",F,"Independent Senators Group (2019/11/14 - )
Non-affiliated (2016/06/13 - 2019/11/13)
Independent (2016/03/08 - 2016/06/12)
Conservative Party of Canada (2012/09/06 - 2016/03/07)
"
"Ngo, Thanh Hai","Senator (2012/09/06 - )
","Ontario (2012/09/06 - )
","Ontario
",M,"Conservative Party of Canada (2012/09/06 - )
"
"White, Vernon","Senator (2012/02/20 - )
","Ontario (2012/02/20 - )
","Ontario
",M,"Canadian Senators Group (2019/11/04 - )
Conservative Party of Canada (2012/02/20 - 2019/11/03)
"
"Dagenais, Jean-Guy","Senator (2012/01/17 - )
","Victoria (2012/01/17 - )
","Quebec
",M,"Canadian Senators Group (2019/11/18 - )
Conservative Party of Canada (2012/01/17 - 2019/11/17)
"
"Smith, Larry W.","Senator (2011/05/25 - )
Senator (2010/12/18 - 2011/03/25)
","Saurel (2011/05/25 - )
Saurel (2010/12/18 - 2011/03/25)
","Quebec
Quebec
",M,"Conservative Party of Canada (2011/05/25 - )
Conservative Party of Canada (2010/12/18 - 2011/03/25)
"
"Ataullahjan, Salma","Senator (2010/07/09 - )
","Toronto (2010/07/09 - )
","Ontario
",F,"Conservative Party of Canada (2010/07/09 - )
"
"Poirier, Rose-May","Senator (2010/02/28 - )
","Saint-Louis-de-Kent (2010/02/28 - )
","New Brunswick
",F,"Conservative Party of Canada (2010/02/28 - )
"
"Boisvenu, Pierre-Hugues","Senator (2010/01/29 - )
","La Salle (2010/01/29 - )
","Quebec
",M,"Conservative Party of Canada (2016/11/22 - )
Non-affiliated (2016/06/13 - 2016/11/21)
Independent (2015/06/04 - 2016/06/12)
Conservative Party of Canada (2010/01/29 - 2015/06/03)
"
"Marshall, Elizabeth","Senator (2010/01/29 - )
","Newfoundland and Labrador (2010/01/29 - )
","Newfoundland and Labrador
",F,"Conservative Party of Canada (2010/01/29 - )
"
"Frum, Linda","Senator (2009/08/27 - 2021/08/27)
","Ontario (2009/08/27 - 2021/08/27)
","Ontario
",F,"Conservative Party of Canada (2009/08/27 - 2021/08/27)
"
"Stewart Olsen, Carolyn","Senator (2009/08/27 - 2021/07/26)
","New Brunswick (2009/08/27 - 2021/07/26)
","New Brunswick
",F,"Conservative Party of Canada (2009/08/27 - 2021/07/26)
"
"Carignan, Claude","Senator (2009/08/27 - )
","Mille Isles (2009/08/27 - )
","Quebec
",M,"Conservative Party of Canada (2009/08/27 - )
"
"Patterson, Dennis Glen","Senator (2009/08/27 - )
","Nunavut (2009/08/27 - )
","Nunavut
",M,"Conservative Party of Canada (2009/08/27 - )
"
"Plett, Donald Neil","Senator (2009/08/27 - )
","Landmark (2009/08/27 - )
","Manitoba
",M,"Conservative Party of Canada (2009/08/27 - )
"
"Seidman, Judith","Senator (2009/08/27 - )
","De la Durantaye (2009/08/27 - )
","Quebec
",F,"Conservative Party of Canada (2009/08/27 - )
"
"Brazeau, Patrick","Senator (2009/01/08 - )
","Repentigny (2009/01/08 - )
","Quebec
",M,"Non-affiliated (2020/09/11 - )
Independent Senators Group (2017/06/01 - 2020/09/10)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/02/07 - 2016/06/12)
Conservative Party of Canada (2009/01/08 - 2013/02/06)
"
"Housakos, Leo","Senator (2009/01/08 - )
","Wellington (2009/01/08 - )
","Quebec
",M,"Conservative Party of Canada (2009/01/08 - )
"
"Duffy, Michael","Senator (2009/01/02 - 2021/05/26)
","Prince Edward Island (2009/01/02 - 2021/05/26)
","Prince Edward Island
",M,"Independent Senators Group (2017/06/01 - 2021/05/26)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/05/16 - 2016/06/12)
Conservative Party of Canada (2009/01/02 - 2013/05/15)
"
"Eaton, Nicole","Senator (2009/01/02 - 2020/01/20)
","Ontario (2009/01/02 - 2020/01/20)
","Ontario
",F,"Conservative Party of Canada (2009/01/02 - 2020/01/20)
"
"Greene, Stephen","Senator (2009/01/02 - )
","Halifax - The Citadel (2009/01/02 - )
","Nova Scotia
",M,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/10/24 - 2019/11/03)
Non-affiliated (2017/06/01 - 2017/10/23)
Non-affiliated (Independent Reform) (2017/05/16 - 2017/05/31)
Conservative Party of Canada (2009/01/02 - 2017/05/15)
"
"MacDonald, Michael L.","Senator (2009/01/02 - )
","Cape Breton (2009/01/02 - )
","Nova Scotia
",M,"Conservative Party of Canada (2009/01/02 - )
"
"Martin, Yonah","Senator (2009/01/02 - )
","British Columbia (2009/01/02 - )
","British Columbia
",F,"Conservative Party of Canada (2009/01/02 - )
"
"Mockler, Percy","Senator (2009/01/02 - )
","New Brunswick (2009/01/02 - )
","New Brunswick
",M,"Conservative Party of Canada (2009/01/02 - )
"
"Wallin, Pamela","Senator (2009/01/02 - )
","Saskatchewan (2009/01/02 - )
","Saskatchewan
",F,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/01 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2013/05/17 - 2016/06/12)
Conservative Party of Canada (2009/01/02 - 2013/05/16)
"
"Lovelace Nicholas, Sandra","Senator (2005/09/21 - )
","New Brunswick (2005/09/21 - )
","New Brunswick
",F,"Progressive Senate Group (2020/05/21 - )
Non-affiliated (2019/11/18 - 2020/05/20)
Progressive Senate Group (2019-2019) (2019/11/14 - 2019/11/17)
Liberal Party of Canada (2005/09/21 - 2019/11/13)
"
"Campbell, Larry W.","Senator (2005/08/02 - )
","British Columbia (2005/08/02 - )
","British Columbia
",M,"Canadian Senators Group (2019/11/04 - )
Independent Senators Group (2017/06/02 - 2019/11/03)
Non-affiliated (Independent Senators Group) (2016/12/02 - 2017/05/31)
Non-affiliated (2016/06/13 - 2016/12/01)
Independent (2016/04/06 - 2016/06/12)
Liberal Party of Canada (2005/08/02 - 2016/04/05)
"
